Junctions	ADRENALGLAND1	ADRENALGLAND2	COLON1	COLON2	CORTEX1	CORTEX2	DUODENUM1	DUODENUM2	ESOPHAGUS1	ESOPHAGUS2	HEART1	HEART2	KIDNEY1	KIDNEY2	LIVER1	LIVER2	LUNG1	LUNG2	OVARY1	OVARY2	PANCREAS1	PANCREAS2	SKIN1	SKIN2	SPLEEN_1	SPLEEN_2	STOMACH1	STOMACH2	TESTIS1	TESTIS2	THYROIDGLAND1	THYROIDGLAND2
CGATENSMUST00000090929JUNC00060	2	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0
CGATENSMUST00000097650JUNC00061	0	0	2	1	1	1	0	1	0	0	0	0	0	0	1	1	3	2	0	0	0	0	1	0	0	0	0	0	3	2	0	0
CGATENSMUST00000189617JUNC00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000136479JUNC00066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CGATENSMUST00000108860JUNC00068	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000015981JUNC00069	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CGATENSMUST00000113713JUNC00071	0	1	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1
CGATENSMUST00000109871JUNC00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
CGATENSCAFT00000025233JUNC00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0
CGATENSMUST00000111190JUNC00087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000110259JUNC00089	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000023202JUNC00090	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000023202JUNC00091	0	0	0	0	11	11	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000023202JUNC00092	0	0	0	0	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000023202JUNC00093	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000110520JUNC00095	0	0	0	0	10	14	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000004097JUNC00101	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	2	2	3	0	0	0	0	0	1	1	3	0	0	1	0
CGATENSMUST00000175975JUNC00102	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	1	0	0	1	1	0
CGATENSMUST00000138060JUNC00103	0	0	0	0	0	1	1	2	0	0	0	0	2	1	0	0	1	0	1	2	0	0	1	0	0	0	1	1	0	0	1	0
CGATENSMUST00000186239JUNC00105	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CGATENSMUST00000189770JUNC00106	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000060537JUNC00108	1	0	0	0	23	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CGATENSMUST00000060537JUNC00109	1	0	0	0	16	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CGATENSMUST00000060537JUNC00110	0	0	0	1	8	11	0	0	3	5	3	5	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000060537JUNC00111	0	0	0	0	23	17	0	0	1	3	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000047441JUNC00112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1
CGATENSMUST00000076043JUNC00113	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000058720JUNC00114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0
CGATENSMUST00000105919JUNC00119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
CGATENSMUST00000198633JUNC00120	1	1	1	1	4	3	4	6	2	0	2	0	4	4	0	2	6	5	1	0	0	1	2	1	8	6	2	6	1	1	2	0
CGATENSCAFT00000025945JUNC00122	0	0	0	0	26	18	0	0	2	3	2	3	0	0	0	0	0	2	2	1	0	0	0	0	0	0	1	1	0	0	0	1
CGATENSCAFT00000025945JUNC00123	0	0	1	1	24	21	1	1	1	1	1	1	0	0	0	0	2	1	1	2	0	0	0	0	0	0	2	1	0	0	1	0
CGATENSMUST00000078019JUNC00124	2	0	2	6	0	0	1	1	1	0	1	0	245	229	1	1	3	4	0	0	0	1	1	0	6	3	2	3	0	0	0	0
CGATENSMUST00000161812JUNC00125	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CGATENSMUST00000093138JUNC00126	0	0	1	2	0	1	1	1	0	0	0	0	0	0	1	1	2	2	0	0	0	0	1	0	1	2	1	0	0	0	0	2
CGATENSMUST00000101270JUNC00127	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CGATENSMUST00000021142JUNC00129	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CGATENSCAFT00000009311JUNC00135	3	4	3	4	19	21	2	2	17	21	17	21	12	11	3	3	38	32	13	15	1	3	14	9	5	10	4	6	6	6	46	40
CGATENSCAFT00000009311JUNC00136	7	2	13	17	9	7	2	6	28	19	28	19	15	15	7	4	55	48	19	15	6	0	31	42	21	19	14	13	9	12	81	72
CGATENSCAFT00000009311JUNC00137	9	9	28	19	25	26	3	6	48	33	48	33	20	19	9	13	82	73	22	24	5	7	59	48	31	28	19	15	15	17	97	79
CGATENSMUST00000212181JUNC00138	1	0	10	7	3	3	2	2	21	21	21	21	9	9	1	1	17	15	6	3	0	0	22	9	7	7	7	8	1	1	40	51
CGATENSMUST00000172362JUNC00141	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	4	3	0	0	2	0	2	4	0	0	2	2	4	1
CGATENSMUST00000210061JUNC00142	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000113218JUNC00144	0	0	0	0	3	1	1	0	0	0	0	0	6	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CGATENSCAFT00000010079JUNC00147	0	0	7	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
CGATENSCAFT00000010079JUNC00148	1	1	0	2	7	8	0	0	3	1	3	1	1	2	0	0	0	1	1	2	0	0	1	1	1	1	0	1	0	0	1	1
CGATENSCAFT00000010079JUNC00149	1	0	3	2	21	24	1	1	4	1	4	1	2	2	0	2	2	3	0	1	0	0	0	0	1	1	3	2	0	0	0	1
CGATENSCAFT00000044934JUNC00151	0	0	0	0	2	1	0	0	0	0	0	0	7	11	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
CGATENSCAFT00000044934JUNC00153	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
