Junctions	Brain_13	Brain_26	Brain_39	Colon_20	Colon_33	Colon_7	Duodenum_17	Duodenum_30	Duodenum_4	Esophagus_12	Esophagus_25	Esophagus_38	Heart_24	Heart_37	Ileum_19	Ileum_32	Ileum_6	Jejunum_18	Jejunum_31	Jejunum_5	Kidney_21	Kidney_34	Kidney_8	Liver_15	Liver_28	Liver_2	Muscle_22	Muscle_35	Muscle_9	Pancreas_14	Pancreas_1	Pancreas_27	Stomach_16	Stomach_29	Stomach_3	Thymus_10	Thymus_23	Thymus_36
CGAMUSTENST00000630077JUNC00517	1	2	0	5	4	5	6	2	2	2	3	2	1	8	3	2	5	6	2	7	0	4	2	0	0	2	0	1	0	0	1	0	0	2	4	3	2	6
CGAMUSTENST00000630077JUNC00518	8	7	11	5	8	9	4	3	3	2	4	14	2	8	2	1	11	10	6	10	1	9	6	0	0	0	0	4	1	0	0	0	4	3	3	9	15	7
CGAMUSTENST00000357345JUNC00519	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000374789JUNC00522	0	1	1	1	4	5	2	0	0	4	7	9	1	3	1	0	4	2	9	1	3	3	0	5	2	1	2	2	1	0	0	0	1	1	4	0	0	0
CGAMUSTENST00000350537JUNC00526	1	1	0	1	1	0	0	0	0	1	1	2	0	1	1	0	2	2	3	3	2	3	2	2	0	2	0	1	1	0	0	0	1	0	3	1	1	1
CGAMUSTENST00000368279JUNC00527	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000447742JUNC00533	3	6	4	30	36	12	14	27	2	52	45	38	64	96	11	10	22	40	22	8	2	2	1	1	0	0	38	39	23	1	0	0	30	22	16	0	3	4
CGAMUSTENST00000409979JUNC00535	0	0	0	0	0	0	0	0	0	0	1	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	5	4	6	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000409979JUNC00536	1	0	0	0	0	0	0	0	0	3	2	1	3	9	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000394419JUNC00537	8	15	13	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
CGAMUSTENST00000316156JUNC00543	11	8	19	8	7	6	13	13	5	25	35	28	32	40	2	4	15	10	5	9	6	2	1	6	0	2	19	15	18	0	0	0	10	1	4	13	11	17
CGAMUSTENSCAFT00000046245JUNC00545	15	18	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000046245JUNC00546	26	31	32	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000513543JUNC00547	3	6	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CGAMUSTENST00000524904JUNC00549	0	0	0	0	3	2	0	0	0	0	1	0	0	1	0	2	1	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	1	0
CGAMUSTENST00000393801JUNC00550	11	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000393801JUNC00551	9	12	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000360131JUNC00553	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	3	0	4
CGAMUSTENST00000360131JUNC00554	1	6	3	1	4	4	1	1	0	0	0	1	3	1	0	1	1	2	1	0	1	0	1	1	0	0	2	1	0	0	2	0	3	1	0	6	6	13
CGAMUSTENST00000381269JUNC00556	2	3	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000412920JUNC00560	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000613315JUNC00562	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000425375JUNC00564	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000027252JUNC00565	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000402361JUNC00572	1	1	0	0	1	4	3	0	0	3	1	2	1	1	1	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	2
CGAMUSTENST00000594439JUNC00576	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000359197JUNC00577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2
CGAMUSTENST00000357364JUNC00579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3
CGAMUSTENSCAFT00000013145JUNC00582	2	1	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	1
CGAMUSTENST00000409551JUNC00584	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000395606JUNC00585	8	11	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CGAMUSTENST00000395606JUNC00586	3	7	5	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000530767JUNC00588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
