Junctions	ADRENALGLAND_BEMD	BLOOD_BEGL	BRAIN_BEGL	CEREBELLUM_BESH	CEREBELLUM_GSMD	CORTEX_BESH	GUTCOLON_BEMD	H01_GRET	H01_LABR	H06_PODL	HAIRFOLLICULE_LABR	HEART_BEGL	JEJUNUM_LABR	KERATINOCYTE_BEGL	KIDNEY_BEGL	LIVER_BEGL	LUNG_BEGL	MAMMARYGLAND_GSMD	MUSCLE_BEGL	NOSE01_LABR	NOSE02_LABR	NOSE03_LABR	OLFBULB_GSMD	OVARY_BEGL	PANCREAS_BESH	RETINA_BOCL	SKIN_BEGL	SKIN_GSMD	SPINALCORD_GSMD	SPLEEN_BESH	TESTIS_BEGL	THYMUS_SLKI
CGACAFTENST00000288398JUNC01810	529	72	18	28	30	18	1008	175	109	214	5842	100	1405	3574	711	124	118	866	70	355	331	309	73	142	194	256	2204	1653	74	220	25	159
CGACAFTENST00000334895JUNC01811	182	20	244	176	135	145	251	59	43	80	163	18	420	212	56	69	97	132	5	129	184	167	140	48	61	128	138	119	103	113	16	46
CGACAFTENST00000334895JUNC01812	1	0	870	601	567	551	13	2	2	2	2	1	15	2	1	0	0	0	0	0	0	0	433	2	0	4	2	0	147	1	4	0
CGACAFTENST00000404907JUNC01815	6	0	64	38	0	29	0	0	1	2	0	2	0	0	6	0	18	1	0	6	16	3	5	5	0	3	0	2	58	13	2	1
CGACAFTENST00000404907JUNC01816	2	0	70	45	2	62	0	0	0	0	0	1	0	0	1	0	0	0	0	2	7	2	7	1	0	0	0	0	94	0	1	0
CGACAFTENST00000404907JUNC01817	1	0	77	48	24	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	85	1	0	0
CGACAFTENST00000513543JUNC01818	17	0	29	41	6	26	4	1	1	0	1	1	2	0	4	0	10	1	1	4	54	6	8	6	1	5	0	0	76	19	2	0
CGACAFTENST00000347404JUNC01819	1	0	1	0	0	0	1	0	0	0	0	2	4	9	8	0	8	0	0	6	3	4	3	2	0	0	0	0	0	7	3	0
CGACAFTENST00000400308JUNC01828	4	0	2	3	7	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	2	0	5	0
CGACAFTENST00000400308JUNC01829	18	0	21	36	43	2	0	0	1	0	5	0	0	3	0	0	0	1	0	0	0	0	217	6	1	3	0	1	15	2	54	0
CGACAFTENST00000450198JUNC01830	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CGACAFTENST00000382185JUNC01831	8	0	39	16	14	29	4	17	8	12	5	4	0	11	6	0	13	11	2	52	32	31	23	9	7	15	5	3	20	12	0	4
CGACAFTENST00000428026JUNC01833	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1
CGACAFTENST00000460170JUNC01834	0	0	18	84	140	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
