Junctions	ADRENALGLAND_BEMD	BLOOD_BEGL	BRAIN_BEGL	CEREBELLUM_BESH	CEREBELLUM_GSMD	CORTEX_BESH	GUTCOLON_BEMD	H01_GRET	H01_LABR	H06_PODL	HAIRFOLLICULE_LABR	HEART_BEGL	JEJUNUM_LABR	KERATINOCYTE_BEGL	KIDNEY_BEGL	LIVER_BEGL	LUNG_BEGL	MAMMARYGLAND_GSMD	MUSCLE_BEGL	NOSE01_LABR	NOSE02_LABR	NOSE03_LABR	OLFBULB_GSMD	OVARY_BEGL	PANCREAS_BESH	RETINA_BOCL	SKIN_BEGL	SKIN_GSMD	SPINALCORD_GSMD	SPLEEN_BESH	TESTIS_BEGL	THYMUS_SLKI
CGACAFTENSMUST00000072585JUNC00286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000048665JUNC00290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000341582JUNC00294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000331224JUNC00295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000109843JUNC00296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000109846JUNC00297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000101354JUNC00303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000159634JUNC00306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000147605JUNC00309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000541122JUNC00312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000298942JUNC00328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000109877JUNC00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000372235JUNC00343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000451728JUNC00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000520356JUNC00361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000112123JUNC00364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000368176JUNC00365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
