Junctions	sum	species
CGACAFTENST00000370994JUNC00149	29470	dog
CGACAFTENST00000344384JUNC00151	37	dog
CGACAFTENST00000277575JUNC00152	11	dog
CGACAFTENSMUST00000042503JUNC00153	3	dog
CGACAFTENST00000406974JUNC00154	7	dog
CGACAFTENSMUST00000106228JUNC00155	2882	dog
CGACAFTENSMUST00000084781JUNC00158	3	dog
CGACAFTENST00000357250JUNC00159	121	dog
CGACAFTENST00000357250JUNC00160	170	dog
CGACAFTENST00000357250JUNC00161	386	dog
CGACAFTENST00000357250JUNC00162	498	dog
CGACAFTENST00000320755JUNC00163	76	dog
CGACAFTENST00000220429JUNC00164	430	dog
CGACAFTENSMUST00000110424JUNC00165	66	dog
CGACAFTENST00000265997JUNC00167	154	dog
CGACAFTENST00000265997JUNC00168	6	dog
CGACAFTENSMUST00000079754JUNC00169	80	dog
CGACAFTENSMUST00000079754JUNC00170	77	dog
CGACAFTENST00000222597JUNC00171	60	dog
CGACAFTENST00000621218JUNC00173	15751	dog
CGACAFTENST00000372397JUNC00174	10939	dog
CGACAFTENST00000368682JUNC00175	802	dog
CGACAFTENST00000368682JUNC00176	825	dog
CGACAFTENST00000295987JUNC00177	1151	dog
CGACAFTENST00000477726JUNC00178	10	dog
CGACAFTENSMUST00000056931JUNC00179	5723	dog
CGACAFTENSMUST00000056931JUNC00180	1921	dog
CGACAFTENST00000378312JUNC00181	42	dog
CGACAFTENST00000396688JUNC00182	614	dog
CGACAFTENSMUST00000113590JUNC00183	244	dog
CGACAFTENSMUST00000113590JUNC00184	14	dog
CGACAFTENST00000401867JUNC00185	1503	dog
CGACAFTENST00000401867JUNC00186	1848	dog
CGACAFTENST00000373836JUNC00187	310	dog
CGACAFTENSMUST00000084170JUNC00188	1	dog
CGACAFTENST00000373701JUNC00189	691	dog
CGACAFTENST00000623893JUNC00190	855	dog
CGACAFTENST00000353341JUNC00191	14506	dog
CGACAFTENST00000352301JUNC00192	3185	dog
CGACAFTENST00000533727JUNC00193	659	dog
CGACAFTENST00000534300JUNC00194	7	dog
CGACAFTENST00000440311JUNC00196	1	dog
CGACAFTENSMUST00000026416JUNC00197	426	dog
CGACAFTENSMUST00000026416JUNC00198	714	dog
CGACAFTENST00000315266JUNC00199	1020	dog
CGACAFTENST00000520220JUNC00200	669	dog
