junctions_mm	sum_mm	junctions_hs	sum_hs	junctions_clf	sum_clf
CGAMUSTENST00000594439JUNC00077	1	CGATENSCAFT00000027252JUNC00068	10	CGACAFTENST00000355633JUNC00057	25
CGAMUSTENST00000530767JUNC00078	2	CGATENSMUST00000052472JUNC00070	19	CGACAFTENST00000342203JUNC00061	995
CGAMUSTENST00000360194JUNC00080	49	CGATENSMUST00000052472JUNC00072	2	CGACAFTENST00000488267JUNC00063	119
CGAMUSTENST00000370779JUNC00082	9	CGATENSCAFT00000031036JUNC00073	1	CGACAFTENST00000344626JUNC00065	1061
CGAMUSTENST00000453424JUNC00088	29	CGATENSMUST00000112294JUNC00074	46	CGACAFTENST00000344626JUNC00066	1194
CGAMUSTENST00000453424JUNC00089	150	CGATENSMUST00000073939JUNC00076	2	CGACAFTENST00000589677JUNC00068	910
CGAMUSTENST00000597639JUNC00090	11	CGATENSMUST00000112428JUNC00077	170	CGACAFTENST00000414276JUNC00069	2
CGAMUSTENST00000414276JUNC00091	21	CGATENSMUST00000112428JUNC00078	111	CGACAFTENST00000414276JUNC00070	26
CGAMUSTENST00000418153JUNC00095	35	CGATENSMUST00000110424JUNC00080	17	CGACAFTENSMUST00000174282JUNC00071	679
CGAMUSTENST00000400308JUNC00096	1	CGATENSCAFT00000008733JUNC00081	8	CGACAFTENST00000263846JUNC00072	332
CGAMUSTENST00000403231JUNC00098	41	CGATENSMUST00000115196JUNC00082	6	CGACAFTENST00000540677JUNC00073	68
CGAMUSTENST00000403231JUNC00099	35	CGATENSMUST00000116437JUNC00083	9	CGACAFTENST00000540677JUNC00074	52
CGAMUSTENST00000392456JUNC00101	19	CGATENSMUST00000116437JUNC00084	8	CGACAFTENST00000542836JUNC00075	47
CGAMUSTENST00000392456JUNC00102	37	CGATENSMUST00000028691JUNC00085	295	CGACAFTENSMUST00000076968JUNC00076	123
CGAMUSTENST00000257414JUNC00105	17	CGATENSMUST00000028691JUNC00086	294	CGACAFTENSMUST00000169121JUNC00077	14
CGAMUSTENST00000257414JUNC00106	7	CGATENSMUST00000113590JUNC00089	42	CGACAFTENST00000502976JUNC00078	11202
CGAMUSTENST00000373836JUNC00107	51	CGATENSMUST00000113590JUNC00090	1	CGACAFTENST00000502976JUNC00079	24767
CGAMUSTENST00000606561JUNC00110	1	CGATENSCAFT00000024036JUNC00091	200	CGACAFTENST00000374680JUNC00081	2481
CGAMUSTENST00000308893JUNC00112	6	CGATENSMUST00000199256JUNC00092	70	CGACAFTENST00000509053JUNC00082	408
CGAMUSTENST00000320694JUNC00114	70	CGATENSMUST00000047645JUNC00094	39	CGACAFTENST00000509053JUNC00083	71
CGAMUSTENST00000370198JUNC00115	27	CGATENSCAFT00000012325JUNC00095	101	CGACAFTENST00000505980JUNC00084	74
CGAMUSTENST00000371039JUNC00116	30	CGATENSCAFT00000012325JUNC00096	99	CGACAFTENST00000515395JUNC00085	370
CGAMUSTENST00000371039JUNC00117	7	CGATENSCAFT00000012325JUNC00097	504	CGACAFTENSMUST00000100772JUNC00087	14
CGAMUSTENST00000371039JUNC00118	1	CGATENSCAFT00000012333JUNC00098	19	CGACAFTENST00000528062JUNC00088	1921
CGAMUSTENST00000381661JUNC00120	58	CGATENSMUST00000099355JUNC00099	42	CGACAFTENSMUST00000146297JUNC00089	4285
CGAMUSTENSCAFT00000044406JUNC00122	157	CGATENSMUST00000106151JUNC00100	132	CGACAFTENST00000378099JUNC00090	2
CGAMUSTENST00000526033JUNC00123	73	CGATENSCAFT00000012642JUNC00103	6	CGACAFTENSMUST00000109701JUNC00091	5830
CGAMUSTENSCAFT00000024036JUNC00130	12	CGATENSMUST00000160629JUNC00105	62	CGACAFTENST00000380036JUNC00094	631
CGAMUSTENST00000502640JUNC00131	10	CGATENSMUST00000203187JUNC00106	31	CGACAFTENSMUST00000202567JUNC00097	3
