sum	species
1094	hs
832	hs
950	hs
69	hs
75	hs
3996	hs
2204	hs
560	hs
642	hs
763	hs
875	hs
559	hs
998	hs
1721	hs
2071	hs
782	hs
1218	hs
1039	hs
1193	hs
1708	hs
1263	hs
1356	hs
2082	hs
330	hs
1130	hs
1040	hs
516	hs
1028	hs
609	hs
454	hs
577	hs
545	hs
590	hs
590	hs
694	hs
663	hs
795	hs
600	hs
786	hs
223	hs
288	hs
284	hs
175	hs
632	hs
859	hs
1059	hs
1417	hs
1228	hs
1052	hs
1005	hs
1192	hs
1111	hs
821	hs
810	hs
1066	hs
1183	hs
1188	hs
183	hs
130	hs
155	hs
149	hs
148	hs
128	hs
141	hs
118	hs
130	hs
168	hs
142	hs
5	hs
789	hs
1500	hs
1977	hs
2237	hs
1600	hs
51	hs
49	hs
53	hs
33	hs
9	hs
97	hs
110	hs
7	hs
99	hs
345	hs
524	hs
429	hs
567	hs
66	hs
48	hs
565	hs
478	hs
491	hs
96	hs
342	hs
535	hs
405	hs
240	hs
202	hs
309	hs
491	hs
429	hs
429	hs
541	hs
450	hs
433	hs
84	hs
629	hs
129	hs
344	hs
870	hs
929	hs
919	hs
1019	hs
1107	hs
1028	hs
980	hs
1131	hs
391	hs
1732	hs
2668	hs
4	hs
816	hs
1079	hs
1147	hs
1169	hs
1477	hs
64	hs
409	hs
11	hs
426	hs
393	hs
438	hs
401	hs
301	hs
507	hs
432	hs
417	hs
546	hs
409	hs
26	hs
21	hs
423	hs
536	hs
329	hs
34	hs
377	hs
406	hs
659	hs
613	hs
704	hs
737	hs
798	hs
877	hs
843	hs
204	hs
245	hs
958	hs
852	hs
713	hs
666	hs
4	hs
90	hs
83	hs
113	hs
13	hs
93	hs
87	hs
72	hs
119	hs
294	hs
375	hs
419	hs
333	hs
31	hs
427	hs
520	hs
416	hs
49	hs
348	hs
815	hs
724	hs
883	hs
1038	hs
1100	hs
1147	hs
314	hs
336	hs
1047	hs
1266	hs
668	hs
68	hs
51	hs
42	hs
18	hs
102	hs
101	hs
117	hs
139	hs
121	hs
90	hs
116	hs
124	hs
105	hs
147	hs
132	hs
174	hs
1200	hs
1592	hs
1429	hs
1754	hs
1949	hs
1282	hs
1763	hs
2402	hs
2016	hs
1190	hs
85	hs
67	hs
102	hs
105	hs
1809	hs
2204	hs
2234	hs
1964	hs
2763	hs
1921	hs
2070	hs
1963	hs
1889	hs
2172	hs
243	hs
2629	hs
2133	hs
1813	hs
1879	hs
1486	hs
1955	hs
1767	hs
2196	hs
2236	hs
2136	hs
2436	hs
1195	hs
1076	hs
1183	hs
210	hs
276	hs
366	hs
324	hs
354	hs
331	hs
326	hs
265	hs
348	hs
374	hs
380	hs
335	hs
252	hs
12	hs
373	hs
441	hs
449	hs
456	hs
515	hs
615	hs
735	hs
467	hs
540	hs
585	hs
602	hs
788	hs
529	hs
216	hs
4	hs
4	hs
5	hs
45	hs
749	hs
1272	hs
1285	hs
744	hs
1054	hs
1109	hs
963	hs
1314	hs
1018	hs
1163	hs
811	hs
151	hs
128	hs
16	hs
282	hs
143	hs
193	hs
246	hs
204	hs
247	hs
238	hs
239	hs
294	hs
265	hs
253	hs
236	hs
159	hs
193	hs
270	hs
324	hs
273	hs
272	hs
287	hs
273	hs
264	hs
48	hs
1	hs
4	hs
2	hs
3	hs
6	hs
5	hs
8	hs
9	hs
10	hs
12	hs
15	hs
15	hs
12	hs
16	hs
24	hs
20	hs
20	hs
34	hs
29	hs
23	hs
17	hs
35	hs
27	hs
26	hs
20	hs
26	hs
16	hs
17	hs
29	hs
32	hs
21	hs
28	hs
23	hs
21	hs
21	hs
22	hs
81	hs
124	hs
83	hs
87	hs
123	hs
133	hs
121	hs
186	hs
88	hs
93	hs
163	hs
163	hs
125	hs
107	hs
160	hs
174	hs
121	hs
32	hs
39	hs
158	hs
182	hs
7	hs
9	hs
143	hs
91	hs
260	hs
218	hs
295	hs
175	hs
196	hs
224	hs
25	hs
47	hs
57	hs
62	hs
66	hs
57	hs
76	hs
55	hs
36	hs
906	hs
914	hs
757	hs
1047	hs
1142	hs
1183	hs
1466	hs
112	hs
242	hs
660	hs
1006	hs
1062	hs
1451	hs
1319	hs
1320	hs
1796	hs
1875	hs
1802	hs
2019	hs
1905	hs
1795	hs
2536	hs
2333	hs
2342	hs
2259	hs
1671	hs
58	hs
131	hs
150	hs
255	hs
284	hs
331	hs
252	hs
350	hs
330	hs
290	hs
252	hs
256	hs
272	hs
227	hs
73	hs
17	hs
1713	hs
3926	hs
4399	hs
4646	hs
4253	hs
4759	hs
4422	hs
4116	hs
4057	hs
3143	hs
1947	hs
3105	hs
4274	hs
3332	hs
